season_label,season_type,game_id,game_date,home_team,away_team,event_ticker,ticker,market_type,category,sub_category,title,subtitle,yes_sub_title,no_sub_title,status
2024-25,Playoffs,0042400121,2025-04-19,NYK,DET,KXNBAGAME-25APR19DETNYK,KXNBAGAME-25APR19DETNYK-NYK,binary,,,Detroit vs New York: Game 1 Winner? Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400121,2025-04-19,NYK,DET,KXNBAGAME-25APR19DETNYK,KXNBAGAME-25APR19DETNYK-DET,binary,,,Detroit vs New York: Game 1 Winner? Winner?,,Detroit,Detroit,finalized
2024-25,Playoffs,0042400131,2025-04-19,IND,MIL,KXNBAGAME-25APR19MILIND,KXNBAGAME-25APR19MILIND-MIL,binary,,,Milwaukee vs Indiana: Game 1 Winner? Winner?,,Milwaukee,Milwaukee,finalized
2024-25,Playoffs,0042400131,2025-04-19,IND,MIL,KXNBAGAME-25APR19MILIND,KXNBAGAME-25APR19MILIND-IND,binary,,,Milwaukee vs Indiana: Game 1 Winner? Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400161,2025-04-19,LAL,MIN,KXNBAGAME-25APR19MINLAL,KXNBAGAME-25APR19MINLAL-LAL,binary,,,Minnesota vs Los Angeles L: Game 1 Winner? Winner?,,Los Angeles L,Los Angeles L,finalized
2024-25,Playoffs,0042400161,2025-04-19,LAL,MIN,KXNBAGAME-25APR19MINLAL,KXNBAGAME-25APR19MINLAL-MIN,binary,,,Minnesota vs Los Angeles L: Game 1 Winner? Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400171,2025-04-19,DEN,LAC,KXNBAGAME-25APR19LACDEN,KXNBAGAME-25APR19LACDEN-DEN,binary,,,Los Angeles C vs Denver: Game 1 Winner? Winner?,,Denver,Denver,finalized
2024-25,Playoffs,0042400171,2025-04-19,DEN,LAC,KXNBAGAME-25APR19LACDEN,KXNBAGAME-25APR19LACDEN-LAC,binary,,,Los Angeles C vs Denver: Game 1 Winner? Winner?,,Los Angeles C,Los Angeles C,finalized
2024-25,Playoffs,0042400101,2025-04-20,CLE,MIA,KXNBAGAME-25APR20MIACLE,KXNBAGAME-25APR20MIACLE-MIA,binary,,,Miami vs Cleveland: Game 1 Winner? Winner?,,Miami,Miami,finalized
2024-25,Playoffs,0042400101,2025-04-20,CLE,MIA,KXNBAGAME-25APR20MIACLE,KXNBAGAME-25APR20MIACLE-CLE,binary,,,Miami vs Cleveland: Game 1 Winner? Winner?,,Cleveland,Cleveland,finalized
2024-25,Playoffs,0042400111,2025-04-20,BOS,ORL,KXNBAGAME-25APR20ORLBOS,KXNBAGAME-25APR20ORLBOS-ORL,binary,,,Orlando vs Boston: Game 1 Winner? Winner?,,Orlando,Orlando,finalized
2024-25,Playoffs,0042400111,2025-04-20,BOS,ORL,KXNBAGAME-25APR20ORLBOS,KXNBAGAME-25APR20ORLBOS-BOS,binary,,,Orlando vs Boston: Game 1 Winner? Winner?,,Boston,Boston,finalized
