GAME_ID,GAME_DATE,HOME_TEAM_ABBREV,AWAY_TEAM_ABBREV,SEASON_TYPE,event_ticker,title,sub_title,status
0022500001,2025-10-21,OKC,HOU,Regular Season,KXNBAGAME-25OCT21HOUOKC,Houston vs Oklahoma City,HOU at OKC (Oct 21),
0022500002,2025-10-21,LAL,GSW,Regular Season,KXNBAGAME-25OCT21GSWLAL,Golden State vs Los Angeles L,GSW at LAL (Oct 21),
0022500003,2025-10-22,NYK,CLE,Regular Season,KXNBAGAME-25OCT22CLENYK,Cleveland vs New York,CLE at NYK (Oct 22),
0022500004,2025-10-22,DAL,SAS,Regular Season,KXNBAGAME-25OCT22SASDAL,San Antonio vs Dallas,SAS at DAL (Oct 22),
0022500080,2025-10-22,CHA,BKN,Regular Season,KXNBAGAME-25OCT22BKNCHA,Brooklyn vs Charlotte,BKN at CHA (Oct 22),
0022500081,2025-10-22,ORL,MIA,Regular Season,KXNBAGAME-25OCT22MIAORL,Miami vs Orlando,MIA at ORL (Oct 22),
0022500082,2025-10-22,ATL,TOR,Regular Season,KXNBAGAME-25OCT22TORATL,Toronto vs Atlanta,TOR at ATL (Oct 22),
0022500083,2025-10-22,BOS,PHI,Regular Season,KXNBAGAME-25OCT22PHIBOS,Philadelphia vs Boston,PHI at BOS (Oct 22),
0022500084,2025-10-22,CHI,DET,Regular Season,KXNBAGAME-25OCT22DETCHI,Detroit vs Chicago,DET at CHI (Oct 22),
0022500085,2025-10-22,MEM,NOP,Regular Season,KXNBAGAME-25OCT22NOPMEM,New Orleans vs Memphis,NOP at MEM (Oct 22),
0022500086,2025-10-22,MIL,WAS,Regular Season,KXNBAGAME-25OCT22WASMIL,Washington vs Milwaukee,WAS at MIL (Oct 22),
0022500087,2025-10-22,UTA,LAC,Regular Season,KXNBAGAME-25OCT22LACUTA,Los Angeles C vs Utah,LAC at UTA (Oct 22),
0022500088,2025-10-22,PHX,SAC,Regular Season,KXNBAGAME-25OCT22SACPHX,Sacramento vs Phoenix,SAC at PHX (Oct 22),
0022500089,2025-10-22,POR,MIN,Regular Season,KXNBAGAME-25OCT22MINPOR,Minnesota vs Portland,MIN at POR (Oct 22),
0022500005,2025-10-23,IND,OKC,Regular Season,KXNBAGAME-25OCT23OKCIND,Oklahoma City vs Indiana,OKC at IND (Oct 23),
0022500006,2025-10-23,GSW,DEN,Regular Season,KXNBAGAME-25OCT23DENGSW,Denver vs Golden State,DEN at GSW (Oct 23),
0022500018,2025-10-24,NYK,BOS,Regular Season,KXNBAGAME-25OCT24BOSNYK,Boston vs New York,BOS at NYK (Oct 24),
0022500019,2025-10-24,LAL,MIN,Regular Season,KXNBAGAME-25OCT24MINLAL,Minnesota vs Los Angeles L,MIN at LAL (Oct 24),
0022500090,2025-10-24,ORL,ATL,Regular Season,KXNBAGAME-25OCT24ATLORL,Atlanta vs Orlando,ATL at ORL (Oct 24),
0022500091,2025-10-24,BKN,CLE,Regular Season,KXNBAGAME-25OCT24CLEBKN,Cleveland vs Brooklyn,CLE at BKN (Oct 24),
0022500092,2025-10-24,TOR,MIL,Regular Season,KXNBAGAME-25OCT24MILTOR,Milwaukee vs Toronto,MIL at TOR (Oct 24),
0022500093,2025-10-24,HOU,DET,Regular Season,KXNBAGAME-25OCT24DETHOU,Detroit vs Houston,DET at HOU (Oct 24),
0022500094,2025-10-24,MEM,MIA,Regular Season,KXNBAGAME-25OCT24MIAMEM,Miami vs Memphis,MIA at MEM (Oct 24),
0022500095,2025-10-24,NOP,SAS,Regular Season,KXNBAGAME-25OCT24SASNOP,San Antonio vs New Orleans,SAS at NOP (Oct 24),
0022500096,2025-10-24,DAL,WAS,Regular Season,KXNBAGAME-25OCT24WASDAL,Washington vs Dallas,WAS at DAL (Oct 24),
0022500097,2025-10-24,POR,GSW,Regular Season,KXNBAGAME-25OCT24GSWPOR,Golden State vs Portland,GSW at POR (Oct 24),
0022500098,2025-10-24,SAC,UTA,Regular Season,KXNBAGAME-25OCT24UTASAC,Utah vs Sacramento,UTA at SAC (Oct 24),
0022500099,2025-10-24,LAC,PHX,Regular Season,KXNBAGAME-25OCT24PHXLAC,Phoenix vs Los Angeles C,PHX at LAC (Oct 24),
0022500100,2025-10-25,ORL,CHI,Regular Season,KXNBAGAME-25OCT25CHIORL,Chicago vs Orlando,CHI at ORL (Oct 25),
0022500101,2025-10-25,ATL,OKC,Regular Season,KXNBAGAME-25OCT25OKCATL,Oklahoma City vs Atlanta,OKC at ATL (Oct 25),
0022500102,2025-10-25,PHI,CHA,Regular Season,KXNBAGAME-25OCT25CHAPHI,Charlotte vs Philadelphia,CHA at PHI (Oct 25),
0022500103,2025-10-25,MEM,IND,Regular Season,KXNBAGAME-25OCT25INDMEM,Indiana vs Memphis,IND at MEM (Oct 25),
0022500104,2025-10-25,DEN,PHX,Regular Season,KXNBAGAME-25OCT25PHXDEN,Phoenix vs Denver,PHX at DEN (Oct 25),
0022500105,2025-10-26,SAS,BKN,Regular Season,KXNBAGAME-25OCT26BKNSAS,Brooklyn vs San Antonio,BKN at SAS (Oct 26),
0022500106,2025-10-26,DET,BOS,Regular Season,KXNBAGAME-25OCT26BOSDET,Boston vs Detroit,BOS at DET (Oct 26),
0022500107,2025-10-26,CLE,MIL,Regular Season,KXNBAGAME-25OCT26MILCLE,Milwaukee vs Cleveland,MIL at CLE (Oct 26),
0022500108,2025-10-26,MIA,NYK,Regular Season,KXNBAGAME-25OCT26NYKMIA,New York vs Miami,NYK at MIA (Oct 26),
0022500109,2025-10-26,WAS,CHA,Regular Season,KXNBAGAME-25OCT26CHAWAS,Charlotte vs Washington,CHA at WAS (Oct 26),
0022500110,2025-10-26,MIN,IND,Regular Season,KXNBAGAME-25OCT26INDMIN,Indiana vs Minnesota,IND at MIN (Oct 26),
0022500111,2025-10-26,DAL,TOR,Regular Season,KXNBAGAME-25OCT26TORDAL,Toronto vs Dallas,TOR at DAL (Oct 26),
0022500112,2025-10-26,LAC,POR,Regular Season,KXNBAGAME-25OCT26PORLAC,Portland vs Los Angeles C,POR at LAC (Oct 26),
